Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 3, -1, [], [16 49 23 48 47 4 41 12], 8, [specialist specialist generalist generalist generalist specialist specialist specialist specialist generalist]
1, 4, -4, [], [19 41 46 4 20], 5, [specialist specialist specialist specialist specialist generalist]
1, -1, -1, [], [28 22 6 37 0 46], 6, [specialist specialist specialist specialist generalist specialist]
1, 4, -2, [], [6 20 18 23 49 45 46], 7, [generalist specialist generalist generalist specialist specialist specialist generalist]
1, 4, 1, [], [46 21 35 48 11 16], 6, [generalist specialist specialist generalist specialist specialist]
1, 0, 4, [], [26 27 48 11 9 35], 6, [generalist specialist specialist specialist specialist specialist generalist]
1, -2, 4, [], [47 35 24 33 3 28 49 48], 8, [specialist generalist specialist specialist specialist generalist specialist specialist generalist specialist]
1, 3, 2, [], [0 10], 2, [specialist specialist specialist]
1, 1, 3, [], [31 49 6 47], 4, [generalist specialist generalist specialist]
1, 1, 4, [], [7 49 35 11 34 32 2], 7, [specialist specialist specialist specialist specialist specialist generalist]
1, 2, 1, [], [35 28 31 47 22 37 11 34], 8, [specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist]
1, 2, -3, [], [6 40 22], 3, [specialist specialist specialist]
1, -2, 1, [], [3 30 23 16 7], 5, [specialist specialist specialist specialist specialist]
1, 0, 1, [], [21 29 3 44 49], 5, [specialist generalist specialist specialist generalist specialist specialist]
1, 0, 0, [], [41 27 45 17 19 14 42 5 0 1 46], 11, [specialist generalist specialist specialist specialist generalist specialist specialist specialist specialist specialist]
1, -3, -1, [], [18 20], 2, [specialist specialist]
1, -2, -1, [], [40 46 39 6 45 11 47 27], 8, [generalist generalist generalist specialist specialist specialist specialist specialist specialist]
1, 2, 3, [], [45 41 48 23 10 9 38 12 29 18 33 47], 12, [specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist generalist]
1, 4, -3, [], [48 6 23 10 45 25 16], 7, [generalist specialist generalist specialist specialist specialist specialist generalist]
1, -2, -4, [], [49 38 16 33 39], 5, [specialist specialist specialist generalist specialist generalist]
1, -2, 2, [], [0 8 49 47 40 48 1], 7, [specialist generalist generalist specialist specialist specialist generalist specialist specialist]
1, -1, -3, [], [32 18 49 46 41 12 19], 7, [specialist generalist specialist specialist specialist specialist generalist]
1, -1, 3, [], [48 34 45 5 47 46], 6, [specialist generalist generalist generalist generalist generalist specialist]
1, -3, 2, [], [47 7 9 26], 4, [specialist generalist specialist specialist]
1, -3, 3, [], [24 27 45 46 3 9 26 49], 8, [generalist specialist specialist generalist specialist specialist generalist specialist generalist]
1, 3, -4, [], [40 18 24 38 6 19], 6, [specialist specialist specialist specialist specialist specialist]
1, 2, -1, [], [35 49 44 0 46], 5, [specialist generalist generalist specialist specialist generalist]
1, -2, 0, [], [49 3 41 20 15 8], 6, [specialist specialist generalist specialist specialist specialist generalist]
1, 1, 2, [], [46 29 21 20 24], 5, [specialist specialist generalist specialist specialist]
1, 3, -2, [], [48 16 23 10 43 24], 6, [specialist specialist specialist specialist specialist generalist]
1, 2, -2, [], [11 42 6 39 3 30 22], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, 1, -1, [], [46 14 47 49 17], 5, [specialist specialist generalist generalist generalist]
1, -4, -4, [], [16 45 30 41 39 38 43 0], 8, [specialist generalist specialist specialist specialist specialist specialist specialist]
1, 0, 2, [], [27 33 3 30 49], 5, [specialist specialist specialist generalist specialist specialist specialist]
1, 0, -3, [], [28 45 37 46], 4, [generalist specialist specialist generalist generalist]
1, 3, 1, [], [22 49 28 23 47 35 2 43], 8, [specialist generalist specialist specialist specialist specialist generalist specialist generalist]
1, -4, -1, [], [48 12 10 38 29 14 49 6 13 46 31 20 8], 13, [specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist generalist]
1, 1, 0, [], [15 19 24 20], 4, [specialist specialist specialist specialist]
1, -3, -4, [], [40 33 35], 3, [specialist specialist specialist]
1, 4, 2, [], [47 45 41], 3, [generalist generalist specialist]
1, -4, 4, [], [49 21 24 10 19], 5, [specialist specialist specialist generalist specialist]
1, -3, 4, [], [28 13 18 38 44 17], 6, [specialist specialist specialist specialist specialist specialist specialist]
1, -3, -2, [], [49 46 47 12 9], 5, [generalist specialist generalist generalist specialist]
1, 3, 3, [], [37 6 29 5 25], 5, [specialist specialist specialist specialist specialist specialist]
1, -4, -3, [], [43 46 41], 3, [generalist specialist specialist]
1, 3, -3, [], [29 33 19], 3, [specialist specialist specialist specialist]
1, 4, -1, [], [31 48 14 1 44 41 0 29 37], 9, [generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 2, -4, [], [24 3 45 39 41 19], 6, [specialist specialist specialist specialist specialist generalist specialist]
1, 2, 0, [], [47 43 46 4], 4, [specialist generalist generalist specialist]
1, -1, 1, [], [44 3 9 24 45 13 41 8 49 43 42], 11, [specialist generalist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist]
1, 3, 0, [], [25 43 36 32 49 8 44 22 47 34 4], 11, [specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, 1, -3, [], [38 32 9 15 49], 5, [generalist specialist specialist specialist specialist]
1, 4, 3, [], [49 21 27 8 11 44], 6, [generalist specialist specialist specialist specialist specialist]
1, -3, 0, [], [39 25 3 20 12 48 17 8 46], 9, [specialist generalist specialist generalist specialist specialist specialist specialist specialist]
1, -4, 3, [], [47 27], 2, [generalist generalist specialist]
1, 4, 4, [], [23 41 31 18 40 6 24 28], 8, [specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -4, -2, [], [12 7 46 35 30 33 38 36 43 48], 10, [specialist specialist specialist specialist generalist specialist generalist specialist specialist generalist specialist]
1, -1, 4, [], [20 7 46 26 49 4 18 45], 8, [specialist generalist specialist generalist specialist specialist generalist specialist]
1, 4, 0, [], [46 39 11 37 47 34 4 31 16 33], 10, [specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist generalist]
1, -3, -3, [], [47 14 43 7 36 38], 6, [specialist generalist specialist specialist generalist specialist specialist]
1, -2, 3, [], [35 46 5 40 6 0 36 20 4 18], 10, [specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist]
