Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 0, -2, [], [49 48 33 15 42 36 47 21 24], 9, [specialist generalist specialist specialist generalist generalist specialist generalist specialist specialist generalist]
1, 0, -4, [], [5 36 27 21 30], 5, [specialist specialist specialist specialist specialist specialist specialist]
1, 3, 3, [], [32 23 24 46 34 49 40 16 1], 9, [specialist specialist specialist specialist generalist generalist specialist specialist specialist]
1, 1, -4, [], [17 6 24 33 48 39 10 16 40], 9, [specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -1, -2, [], [43 22 2 49 45 48 38], 7, [specialist generalist specialist generalist generalist specialist specialist]
1, -2, -3, [], [8 30 34 20 2 45], 6, [specialist generalist specialist specialist specialist specialist]
1, -2, -4, [], [12 8 20 31 23 48], 6, [specialist specialist specialist generalist specialist specialist]
1, 0, -1, [], [2 27 38 46 14 10 23 1 17], 9, [specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, 1, -1, [], [48 43 9 3 15], 5, [generalist specialist specialist specialist specialist]
1, -2, -2, [], [22 32 13 48 5 2 45 23], 8, [specialist generalist specialist generalist specialist specialist specialist specialist generalist]
1, 2, -4, [], [15 22 3 20 32 38 7 37 2], 9, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 2, 0, [], [4 15 36 19 5 45 31], 7, [specialist generalist specialist specialist specialist specialist specialist specialist specialist]
1, -4, -4, [], [49 45 43 42 39], 5, [specialist specialist generalist generalist generalist specialist]
1, -2, 1, [], [12 22 19 45 47 24 48], 7, [specialist specialist generalist specialist generalist specialist specialist generalist]
1, 3, -2, [], [23 10 46 16 2 12 35 42 33], 9, [specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist]
1, 4, 0, [], [6 5 39 43 20 28], 6, [specialist specialist specialist specialist specialist specialist specialist]
1, 4, -1, [], [34 12 43 45 4 0 8], 7, [specialist generalist specialist specialist specialist generalist specialist specialist]
1, 0, 0, [], [47 38 48 24 17 23 16 32 43 5 15 46], 12, [specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist generalist specialist generalist]
1, 1, -2, [], [49 15 48 8 1 44 29], 7, [specialist generalist specialist specialist specialist specialist generalist]
1, -3, -2, [], [14 2 46 47 0 3 6 45 24], 9, [specialist specialist specialist specialist generalist generalist specialist generalist generalist specialist]
1, -4, -1, [], [26 27 47 0 21 8], 6, [specialist generalist specialist specialist specialist specialist]
1, -1, 2, [], [29 16 33 19 42], 5, [specialist specialist specialist specialist specialist specialist]
1, 3, -4, [], [47 48 19 2], 4, [generalist specialist generalist specialist generalist]
1, 3, 4, [], [11 42 0 32], 4, [specialist specialist specialist specialist specialist]
1, 2, 3, [], [20 7 34 29 2 46], 6, [specialist generalist specialist specialist specialist specialist specialist]
1, -2, 0, [], [1 24 45 32 46], 5, [generalist generalist specialist specialist specialist specialist]
1, -4, 0, [], [24 35 21 6 17], 5, [specialist specialist specialist specialist specialist specialist]
1, 3, 2, [], [36 40 49], 3, [specialist generalist specialist]
1, 4, 1, [], [39 8 5 1 24 38 20 48], 8, [specialist specialist specialist specialist generalist specialist specialist generalist specialist]
1, 0, -3, [], [48 21 0 10 1], 5, [generalist specialist specialist specialist generalist specialist]
1, 1, 0, [], [43 25 47 30], 4, [specialist generalist specialist specialist]
1, 3, -1, [], [45 30 48 18 43 14 29 8], 8, [specialist specialist specialist specialist generalist specialist generalist specialist generalist]
1, -3, 3, [], [12 45 41 29 17 15 13], 7, [specialist specialist generalist specialist specialist specialist specialist]
1, -2, 2, [], [22 15 11 27 42 25 49 45], 8, [specialist specialist specialist generalist generalist specialist specialist specialist]
