Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 3, 2, [], [37 18 35 45], 4, [specialist generalist specialist specialist specialist]
1, -3, 1, [], [11 0 22 19 5 38], 6, [specialist specialist specialist specialist specialist specialist]
1, -3, 0, [], [38 15 25 17 45], 5, [specialist specialist generalist specialist specialist]
1, -2, -4, [], [12 36 19 3], 4, [specialist specialist specialist specialist]
1, 3, 5, [], [8 48 13], 3, [specialist generalist specialist generalist]
1, 0, 0, [], [47 30 43 6], 4, [specialist specialist specialist generalist]
1, 3, -5, [], [2 26 30 48 18], 5, [specialist specialist specialist specialist generalist]
1, -1, 1, [], [39 0 6 49], 4, [specialist generalist specialist specialist specialist]
1, -4, -4, [], [46], 1, [generalist]
1, 4, -2, [], [47 3 35 46 5 49 40 24], 8, [generalist specialist generalist specialist generalist generalist specialist specialist specialist generalist]
1, 1, 5, [], [31 27 42 25 21], 5, [specialist specialist specialist specialist specialist]
1, 2, 4, [], [12 29 47], 3, [generalist specialist specialist]
1, 4, 1, [], [17 48 20 4], 4, [generalist specialist specialist specialist]
1, -3, -3, [], [15 33 6 35 23 43 11], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, -2, 0, [], [48 28 45 46], 4, [specialist generalist generalist generalist]
1, 4, -4, [], [30 47 46 25], 4, [generalist generalist specialist specialist]
1, 0, 2, [], [4 9 3 36 0], 5, [specialist specialist specialist specialist specialist specialist]
1, 0, -5, [], [15 4 36 28], 4, [specialist specialist specialist specialist]
1, -4, -3, [], [3 34 31 43 6], 5, [specialist specialist specialist specialist specialist]
1, 3, -3, [], [31 47 38 32 0], 5, [specialist generalist specialist specialist specialist]
1, -5, 2, [], [29 2 6], 3, [specialist specialist specialist specialist]
1, -1, 4, [], [40 48 10 49 8], 5, [specialist specialist generalist specialist generalist generalist]
1, 4, -3, [], [11 2 46 49 19], 5, [generalist generalist specialist specialist specialist]
1, -1, 0, [], [47 13 12], 3, [specialist specialist generalist generalist generalist]
1, 3, 0, [], [41 13 20], 3, [specialist specialist specialist]
1, 5, 2, [], [45 48 28 17], 4, [generalist generalist specialist generalist specialist]
1, 5, -2, [], [49 26 47 9 45 25 40], 7, [specialist generalist specialist generalist specialist specialist generalist]
1, -1, -5, [], [20 8 36 26], 4, [specialist specialist specialist specialist]
1, 1, -3, [], [0 26 47 28 24 20 2], 7, [generalist specialist specialist specialist specialist specialist specialist]
1, 2, -2, [], [20 35 6 16 34], 5, [specialist specialist specialist specialist specialist]
1, 0, -3, [], [6 7], 2, [specialist specialist]
1, 5, -3, [], [19 39], 2, [specialist specialist]
1, -4, 0, [], [43 44 27 11], 4, [specialist specialist specialist specialist]
1, -4, 2, [], [16 0 18 41 12], 5, [specialist specialist specialist specialist specialist]
1, -2, 2, [], [46 40 45 48 17], 5, [generalist specialist specialist generalist generalist]
1, 3, 4, [], [27 47 4], 3, [specialist specialist generalist]
1, -5, -1, [], [46 32 20 47 44 6 42], 7, [specialist specialist specialist specialist specialist generalist generalist]
1, 2, -3, [], [20 48 18 4 0 15], 6, [generalist specialist specialist specialist specialist specialist]
1, -5, 4, [], [17 34], 2, [specialist specialist]
1, -5, -2, [], [44 34 49 48 9 42 7 5], 8, [specialist generalist specialist specialist specialist specialist generalist specialist specialist]
1, -2, 3, [], [43 42 48 14 47 25 0 19 2 31], 10, [specialist specialist specialist specialist specialist specialist generalist specialist generalist generalist specialist specialist]
1, -3, -4, [], [14 46], 2, [specialist generalist]
1, 3, -4, [], [46 37], 2, [specialist generalist]
1, -1, 5, [], [2 34 31 29 25 45], 6, [generalist specialist specialist specialist specialist generalist specialist specialist]
1, 5, 1, [], [21 10 46 4 28], 5, [specialist generalist specialist specialist specialist]
1, -4, 4, [], [1 28 42 36 18], 5, [specialist specialist specialist specialist specialist]
