Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 5, 2, [], [1 28], 2, [specialist specialist specialist]
1, -1, -4, [], [46 25 13 49 30 5 43 40 48 10], 10, [specialist generalist specialist specialist specialist specialist specialist generalist specialist generalist]
1, 0, -5, [], [0 46 39], 3, [specialist generalist specialist]
1, 5, -5, [], [29 49 15 48 47 40], 6, [specialist specialist generalist generalist specialist specialist generalist]
1, -5, 1, [], [17 29 47 6], 4, [specialist generalist specialist specialist]
1, -3, 5, [], [41 6 47 33 24], 5, [specialist generalist specialist specialist specialist]
1, 3, 1, [], [49 40 47 38 30 33 44 6], 8, [generalist generalist specialist specialist generalist specialist specialist specialist specialist specialist]
1, -2, -3, [], [11 10 49], 3, [specialist specialist generalist]
1, 5, -1, [], [44 49 18 46 19 3 48], 7, [generalist generalist generalist specialist specialist generalist specialist specialist]
1, -4, -4, [], [9 49 19 16], 4, [specialist generalist specialist specialist generalist]
1, -4, 2, [], [12 17 41 27 14 24], 6, [specialist specialist specialist specialist specialist specialist]
1, 2, -3, [], [38 46 5], 3, [specialist generalist specialist]
1, 1, -3, [], [23 46 11 26 31], 5, [specialist specialist specialist specialist generalist]
1, 1, -2, [], [19 47 41 45 2 49 46], 7, [generalist generalist generalist generalist specialist specialist specialist]
1, -4, 5, [], [4 28 27], 3, [specialist specialist specialist]
1, -5, 0, [], [10 34 48], 3, [specialist specialist generalist]
1, 3, -4, [], [13 3 34 27 46], 5, [specialist specialist specialist generalist specialist]
1, -4, -2, [], [20 5], 2, [specialist specialist]
1, -1, -2, [], [9 48 42 5 0 26 14 46], 8, [specialist specialist specialist specialist generalist specialist generalist specialist]
1, -3, -1, [], [13 4 33 18 1 23], 6, [specialist specialist specialist specialist specialist specialist]
1, -1, -1, [], [42 8 40 23], 4, [specialist specialist specialist specialist]
1, 5, 1, [], [10 34 16 22], 4, [specialist specialist specialist specialist]
1, 4, 1, [], [45 48 47 11 46 30], 6, [generalist generalist generalist specialist specialist generalist]
1, 2, -4, [], [24 5 26 27 12 32 46 9], 8, [specialist specialist specialist specialist specialist specialist generalist specialist]
1, 4, -4, [], [25 16 30 28], 4, [specialist specialist specialist specialist]
1, 0, -1, [], [14 30 44 45], 4, [specialist specialist specialist specialist generalist]
1, 0, 4, [], [49], 1, [generalist]
1, 5, 5, [], [29 49 15 13 3], 5, [generalist generalist specialist specialist specialist specialist]
1, -5, -4, [], [13 49 25 48 39 22 43 16], 8, [generalist specialist specialist specialist specialist specialist specialist generalist]
1, -3, 2, [], [30 45], 2, [generalist specialist]
1, 3, 2, [], [38 2 46 49 8 47 48], 7, [generalist specialist generalist specialist specialist generalist generalist]
1, -3, -4, [], [20 27 41], 3, [specialist specialist specialist]
1, -4, 0, [], [49 47 40 11 10], 5, [specialist generalist specialist specialist generalist]
1, 1, 2, [], [17 44 45], 3, [generalist specialist specialist]
1, -2, 1, [], [38 28 19 49 37], 5, [specialist generalist specialist specialist specialist]
1, 0, 0, [], [6 41 10], 3, [specialist specialist specialist]
1, 1, -5, [], [47 23 13 19 29 25 45], 7, [generalist specialist specialist specialist specialist specialist specialist generalist]
1, 3, -5, [], [49 35 0 45 23 29 44], 7, [generalist generalist specialist specialist specialist generalist specialist specialist specialist]
1, 2, 5, [], [47 26 44 10 5 11], 6, [specialist specialist specialist specialist generalist specialist specialist]
1, -5, -5, [], [32 12], 2, [specialist specialist]
1, 4, 3, [], [8 15], 2, [specialist specialist]
1, -1, 2, [], [33 10 3], 3, [specialist specialist specialist]
1, 2, -2, [], [15 22 27 44 1], 5, [specialist specialist specialist specialist specialist]
1, -4, 4, [], [46 8 43 16 49], 5, [specialist generalist generalist generalist specialist specialist generalist]
1, 5, -2, [], [31 46 30], 3, [generalist specialist specialist]
1, -1, 0, [], [4 31 6 18], 4, [specialist specialist specialist specialist]
1, -5, 2, [], [47 41 46], 3, [specialist generalist generalist]
1, -4, 1, [], [8 46 49 5 47 38], 6, [specialist specialist generalist specialist generalist generalist]
1, 3, -3, [], [39 36 8 43], 4, [specialist specialist specialist specialist]
1, -3, 0, [], [32 20 24 27 48], 5, [specialist specialist specialist specialist specialist generalist]
1, -5, 5, [], [49 48 10 1 11], 5, [generalist generalist specialist generalist generalist specialist specialist generalist]
