Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, -5, 2, [], [46 48], 2, [generalist generalist]
1, 0, 4, [], [43 5 45 7], 4, [specialist generalist specialist specialist generalist]
1, 4, -5, [], [48 13 46 11 45 37], 6, [generalist generalist specialist specialist generalist specialist generalist]
1, 3, 5, [], [22 16 45 32], 4, [specialist specialist generalist specialist]
1, 1, 1, [], [35 20 46 49 43 0], 6, [specialist generalist specialist specialist specialist generalist]
1, -4, -5, [], [6 20 45], 3, [specialist generalist specialist]
1, 2, -5, [], [8 32 13], 3, [specialist specialist specialist]
1, 4, -3, [], [37 3 18 26], 4, [specialist specialist specialist specialist]
1, -4, -2, [], [44 23 6 47 22], 5, [specialist specialist generalist specialist specialist]
1, -5, 0, [], [49 36 34 48], 4, [specialist generalist generalist specialist]
1, 2, -4, [], [22 46 45 47 32], 5, [generalist specialist generalist specialist generalist]
1, -4, 2, [], [4 48 15 34 33 46], 6, [specialist generalist specialist generalist specialist specialist]
1, -2, -1, [], [46 40 27 1 19 9], 6, [specialist specialist generalist specialist specialist specialist]
1, 3, -4, [], [41 31 47 27 45 49 17], 7, [generalist generalist specialist specialist generalist specialist specialist]
1, -1, -1, [], [6 22 40], 3, [specialist specialist specialist]
1, 3, 1, [], [31], 1, [specialist]
1, 3, 2, [], [16 43 26 9 38 28], 6, [specialist specialist specialist specialist specialist specialist specialist]
1, 2, 2, [], [9 12 32 13], 4, [specialist specialist specialist specialist]
1, 0, 1, [], [20 30 28 48], 4, [specialist specialist generalist specialist]
1, -5, 5, [], [21 33 15 30], 4, [specialist specialist specialist specialist]
1, 1, 4, [], [44 36 31 20], 4, [specialist specialist specialist specialist]
1, 4, 1, [], [0], 1, [specialist]
1, -5, -3, [], [23 33 13 20 18 27 48 25], 8, [specialist specialist generalist specialist specialist specialist specialist specialist]
1, -3, -1, [], [45 47 31 15 13 20], 6, [specialist specialist generalist specialist specialist generalist]
1, -1, 4, [], [41 7 17 45 2 18], 6, [specialist specialist specialist specialist generalist specialist]
1, 5, 2, [], [18 28 37 49 47 39], 6, [generalist generalist specialist specialist specialist specialist]
1, 3, 4, [], [33 36 35 27 15 7], 6, [specialist specialist specialist specialist specialist specialist]
1, -1, 2, [], [44 46 16], 3, [specialist specialist generalist specialist]
1, 0, 2, [], [32 20 2 45 28], 5, [specialist specialist specialist specialist specialist generalist]
1, -5, -4, [], [35 37 18 47], 4, [specialist specialist generalist specialist]
1, -2, -5, [], [48 45 46 41 6 28], 6, [generalist specialist generalist specialist generalist specialist]
1, 1, -4, [], [19 27 30 20], 4, [specialist specialist specialist specialist]
1, -2, 1, [], [36 26], 2, [specialist specialist]
1, 0, 5, [], [39], 1, [specialist specialist]
1, 5, 5, [], [30 44 48 45], 4, [specialist generalist generalist specialist]
1, -5, 1, [], [24 46 31 48 47 12 23 30 34 28 27], 11, [generalist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist generalist]
1, 5, -3, [], [40], 1, [specialist]
1, -3, 2, [], [26 46 24], 3, [specialist specialist generalist]
1, -3, 1, [], [7 12 46 0 13 48], 6, [generalist specialist specialist generalist specialist specialist]
1, 0, 3, [], [23 29 44 30 7 45 21], 7, [specialist specialist specialist specialist specialist specialist generalist]
1, -2, -4, [], [28 15 44 31 39 49 46 6], 8, [specialist specialist generalist specialist specialist generalist specialist specialist]
1, -1, 5, [], [9 39 45 18 6], 5, [specialist specialist specialist specialist generalist]
1, -5, 4, [], [5 40 44 43 46 47], 6, [specialist generalist specialist specialist specialist generalist]
1, -4, 3, [], [31 13 4], 3, [specialist specialist specialist]
1, -4, 0, [], [45 29 24], 3, [specialist specialist generalist]
1, 0, -4, [], [48 8 19 39 5], 5, [generalist specialist specialist specialist specialist]
1, 5, -5, [], [37 45 44 27 30], 5, [generalist specialist specialist specialist specialist specialist specialist generalist]
1, -2, 2, [], [33 46 49 16], 4, [specialist generalist generalist specialist]
1, -1, -4, [], [37 23 12 49 28 30 26], 7, [specialist specialist specialist generalist specialist specialist specialist]
