Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, -2, -2, [], [0 48 17], 3, [generalist specialist specialist]
1, -2, -3, [], [48 33 32], 3, [generalist specialist specialist]
1, -2, 4, [], [18 47 14 17 28 48 32 30], 8, [specialist specialist specialist specialist specialist generalist generalist specialist]
1, 4, 1, [], [33 45 15], 3, [generalist specialist specialist]
1, -4, -1, [], [3 37 9 46 32 45 40], 7, [generalist specialist specialist specialist specialist specialist generalist]
1, 3, -1, [], [12 9 23 48 24 43 13], 7, [specialist specialist specialist generalist specialist specialist specialist]
1, -1, -3, [], [31 41 22 32 45], 5, [specialist specialist specialist generalist specialist specialist]
1, 1, -2, [], [14 34 36 26 19], 5, [specialist specialist specialist specialist specialist]
1, 2, -1, [], [35 41 46], 3, [generalist specialist specialist specialist]
1, -4, -4, [], [22 31 36 42 29 41], 6, [specialist specialist specialist specialist specialist specialist]
1, -4, 1, [], [42 30 37 14 25 46], 6, [specialist specialist specialist generalist specialist specialist]
1, 1, 2, [], [45 12 10 46], 4, [generalist specialist generalist generalist specialist]
1, 0, 3, [], [49 21 8 47], 4, [specialist generalist generalist specialist generalist]
1, 1, 1, [], [10 28 34 18 29 45 0], 7, [specialist specialist generalist specialist specialist specialist specialist]
1, -2, 0, [], [16 41 27], 3, [specialist specialist specialist]
1, 2, 4, [], [46 35 44 10 45 6 30 11 40 26], 10, [generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, 3, 1, [], [46 49 45 7 43 27 28 24 22], 9, [specialist specialist generalist specialist generalist generalist specialist specialist specialist]
1, 4, 3, [], [9 20], 2, [specialist specialist]
1, 1, 4, [], [8 30 14 16 25], 5, [specialist specialist specialist specialist specialist]
1, 4, -4, [], [33 47 23 2 22 35], 6, [generalist specialist specialist generalist generalist specialist specialist specialist specialist specialist]
1, -3, 1, [], [5 30 41 39 24 43 18], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, -3, 3, [], [18 49 9 32 33 45 39 35], 8, [specialist generalist specialist specialist specialist specialist generalist specialist]
1, 3, 2, [], [7 9 44 37 45], 5, [specialist specialist specialist specialist generalist]
1, -1, 0, [], [9 27 2 18 37 22 5 44 26 7 21], 11, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 3, 4, [], [29 9 48 23 13 35], 6, [specialist specialist generalist specialist specialist specialist specialist specialist]
1, 0, 1, [], [37 9 27 45 15], 5, [specialist specialist specialist specialist generalist]
1, 2, -3, [], [17 46 22 37 43 30 32 13], 8, [specialist generalist specialist generalist specialist specialist specialist specialist specialist]
1, 4, 0, [], [22 45 25 31 43], 5, [specialist generalist specialist generalist specialist specialist]
1, 0, -1, [], [17 40 35 45 11 8 49 47], 8, [specialist specialist generalist specialist specialist generalist specialist generalist]
