Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 2, -1, [], [47 30 12 46 21 8 48 45 33 40 14 26 49 37 28], 15, [generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist generalist generalist specialist generalist generalist specialist]
1, 0, 2, [], [47 20 24 19 36 43 45 34 18 13 28 39 49 23 46 48 17 22 25 33 37], 21, [specialist generalist generalist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist generalist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist]
1, 1, 1, [], [27 36 18 29 47 2 48 40 1 26 45 11 38 20 7 8 12 22 35 10], 20, [generalist specialist generalist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist]
1, 2, -2, [], [46 31 19 35 49 43 48 42], 8, [specialist specialist generalist specialist specialist generalist specialist specialist generalist generalist]
1, 0, -1, [], [40 14 28 49 9 4 23 27 26 7 6 13 48 19 36 18 35 24 16], 19, [specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -1, 1, [], [30 7 48 24 45 21 12 5 10 49 47 11 31 46], 14, [specialist specialist generalist specialist specialist generalist specialist generalist specialist generalist generalist specialist specialist specialist generalist specialist specialist generalist generalist generalist]
1, 2, 0, [], [7 0 45 10 24 13 23 47 28 9 25 2 18 17 31 19 49 43 22 37 6 29], 22, [specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist generalist generalist specialist specialist]
1, 0, 1, [], [34 41 19 28 1 42 5 25 35 40 49 32 46 23 12 10 47 16 7 20 3 17 11], 23, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, 1, -2, [], [45 7 23 41 24 48 46 18 1 8 47 2 34 3 42], 15, [specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist generalist generalist generalist generalist specialist specialist specialist]
1, -1, 2, [], [6 47 36 49 35 17 45 33 41 8 28 42 4 9 39 11 44 34 2], 19, [generalist specialist specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist]
1, -1, -1, [], [9 11 30 45 13 2 43 49 1 5 10 6 19 46 22 47 18 12 33], 19, [specialist specialist generalist specialist specialist specialist generalist generalist specialist generalist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -2, 1, [], [6 42 49 29 12 11 14 0 36 38 10 8 2], 13, [specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist generalist specialist specialist specialist]
1, -2, 0, [], [36 31 17 3 28 8 48 19 20 24 1 38 44 46 5 42 11 41 29 9 27 14], 22, [generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -1, 0, [], [41 0 36 5 47 22 27 4 3 45 23 43 49 46 20 9 48], 17, [specialist specialist generalist specialist specialist specialist generalist specialist specialist specialist generalist generalist specialist specialist generalist specialist generalist specialist specialist generalist]
1, -1, -2, [], [40 11 43 31 2 20 26 1 33 25 27 0 5 6 49 42 45 47 18 46], 20, [specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, 1, 0, [], [30 22 24 49 46 12 42 38 18 5 21 11 2 0 23 1 39 8 4 41 31 29], 22, [specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 1, 2, [], [1 46 45 41 18 48 28 23 7 42 4 29 9 44], 14, [specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist]
1, -2, -1, [], [43 46 44 48 6 47 45 12 19 39 18 8 13 41], 14, [generalist specialist specialist specialist specialist generalist specialist specialist generalist generalist specialist specialist generalist generalist specialist specialist generalist]
1, -2, 2, [], [12 47 33 5 28 35 49 7 20 17 25 46 37 13 34 45 15 22 27 29], 20, [specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, 0, 0, [], [46 23 26 37 28 9 16 14 49 45 36 21 22 5 44 33 10 2 41 48], 20, [generalist specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist generalist]
1, 2, 1, [], [21 30 20 25 38 49 2 35 23 48 37 24 46 36 18 0 9 33 39 43], 20, [specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist]
1, 0, -2, [], [6 39 1 18 49 11 42 45 28 19 5 17 31 36 13 40 47 26 48 33], 20, [specialist specialist specialist generalist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist]
1, -2, -2, [], [41 42 2 19 33 6 10 48 38 46 5 3 45 0 47 12], 16, [specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist specialist generalist generalist specialist specialist specialist]
1, 2, 2, [], [7 45 48 30 38 44 22 28 21 13 42 27 46 47 1 0], 16, [generalist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist generalist specialist specialist specialist generalist generalist specialist specialist generalist specialist]
1, 1, -1, [], [32 5 49 9 41 28 48 36 40 45 19 44 10 22 14 27 29 1], 18, [specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist generalist specialist specialist]
2, -2, 0, [1 47 9 45 49], [47 1 43 7 45 9], 3, [generalist specialist specialist generalist specialist specialist generalist generalist generalist specialist generalist specialist generalist specialist specialist specialist specialist generalist]
2, 2, 2, [47 7 43 49 48 45 9], [43 47 7 49 45 1 9], 2, [specialist specialist specialist generalist specialist generalist generalist specialist specialist generalist specialist specialist generalist specialist generalist generalist]
2, -2, -2, [47 1 9 43 45 49 7], [1 9 47 45], 3, [specialist specialist specialist specialist specialist specialist generalist generalist specialist generalist specialist generalist generalist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist]
2, -1, 1, [9 1 7 48 45 42 47 49], [7 1 45 49 47 42], 2, [specialist specialist generalist generalist generalist generalist specialist specialist generalist generalist generalist generalist generalist generalist specialist generalist specialist generalist specialist specialist specialist generalist generalist specialist]
2, -2, 1, [47 45 1 43 49 48 9], [47 49 45 7 1 48 43 9], 1, [generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist specialist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist]
2, 2, -2, [47 1 42 45 9 49 43 48], [47 45 43 1 7 48 9 42 49], 1, [specialist generalist specialist generalist specialist specialist generalist generalist generalist specialist generalist specialist generalist generalist generalist specialist generalist specialist specialist specialist specialist specialist generalist specialist generalist generalist specialist specialist]
