Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, -5, 2, [], [49 37 6 45 47 41 22 1 15], 9, [generalist generalist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, 5, -5, [], [16 25 24 47 23], 5, [specialist specialist generalist specialist specialist specialist]
1, 0, -4, [], [16 38 2 43], 4, [specialist specialist specialist specialist]
1, -1, 3, [], [19 21 47 17], 4, [specialist generalist specialist specialist specialist]
1, 5, -1, [], [19 11 21], 3, [specialist specialist specialist specialist]
1, -4, 1, [], [25 28 10 48 8 15 44], 7, [specialist specialist specialist specialist specialist specialist specialist generalist]
1, -1, -3, [], [16 33 32], 3, [specialist specialist specialist]
1, 2, -3, [], [48 45 27], 3, [generalist generalist specialist]
1, 1, -3, [], [1 40 45 2 26 43], 6, [generalist specialist specialist specialist specialist specialist]
1, 3, -4, [], [47 28 16], 3, [specialist specialist generalist generalist]
1, 5, -4, [], [46 35], 2, [generalist generalist specialist generalist]
1, 4, 3, [], [25 34 31 48], 4, [specialist specialist specialist generalist]
1, 4, -4, [], [16 17 7 40 39 47], 6, [specialist specialist specialist specialist specialist generalist]
1, 1, 3, [], [1 48 19], 3, [specialist generalist specialist generalist]
1, -1, 4, [], [32 7 45], 3, [specialist specialist generalist]
1, -4, -1, [], [41 24], 2, [specialist specialist]
1, 3, 1, [], [45 28 3 5 2 49], 6, [specialist generalist specialist specialist generalist specialist generalist]
1, 4, 4, [], [39 30 48 5 8 25 17 2], 8, [specialist specialist specialist specialist specialist generalist specialist specialist]
1, -2, 0, [], [33 9 11], 3, [specialist specialist specialist]
1, -3, 1, [], [27 48 31 9 39], 5, [specialist specialist generalist specialist specialist]
1, 4, 1, [], [24 47 40 2 49], 5, [specialist generalist specialist specialist generalist]
1, -3, 4, [], [45 46], 2, [generalist generalist]
1, 2, 2, [], [40 36 15 28], 4, [specialist specialist specialist specialist]
1, -3, 0, [], [48 9], 2, [specialist generalist]
1, -4, -5, [], [46 36], 2, [generalist specialist]
1, -2, -3, [], [11 48 42 46], 4, [specialist generalist generalist specialist specialist]
1, -5, -3, [], [28], 1, [specialist]
1, -1, -2, [], [36 28 19 33 49 42], 6, [specialist specialist specialist specialist specialist generalist]
1, 4, -5, [], [48 15 13 17 47 37], 6, [generalist specialist specialist generalist specialist specialist]
1, -2, -5, [], [20 16 3 17 8 46 1], 7, [specialist generalist specialist specialist specialist specialist specialist]
1, 3, 5, [], [40 11 39 21 46], 5, [specialist generalist specialist specialist specialist]
1, 5, 0, [], [4 40 41], 3, [specialist specialist specialist]
1, -3, -3, [], [44 12 30], 3, [specialist specialist specialist]
1, 5, -2, [], [20 9 42 28 48 1 47], 7, [specialist specialist specialist generalist generalist specialist specialist specialist]
1, 1, 0, [], [15 47 3 21 26 33 42 35], 8, [generalist specialist specialist specialist specialist specialist specialist specialist]
1, 3, -3, [], [11 3 39], 3, [specialist specialist specialist specialist]
1, -5, -1, [], [46 6 17], 3, [generalist specialist specialist generalist]
1, -5, 5, [], [49 47 32], 3, [generalist specialist generalist]
1, 0, -5, [], [41 10 30 47], 4, [specialist specialist generalist specialist]
1, -4, -2, [], [28 33], 2, [specialist specialist]
1, -4, 3, [], [15 46], 2, [specialist generalist]
1, 3, -5, [], [9 47 22 49 42], 5, [specialist generalist generalist specialist specialist specialist generalist]
1, 3, 2, [], [47 9 12 38 39], 5, [generalist specialist specialist specialist specialist specialist]
1, 2, 5, [], [40], 1, [specialist]
