Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 2, 3, [], [45 48 29 15], 4, [generalist specialist specialist generalist generalist]
1, -2, -2, [], [4 35 0 41], 4, [specialist specialist specialist specialist]
1, -5, -3, [], [5 47 33 49 7 20], 6, [generalist specialist specialist specialist generalist specialist]
1, -4, 0, [], [21 5 47 4 45 8 10 29], 8, [specialist generalist specialist generalist specialist generalist specialist specialist specialist]
1, 3, 2, [], [46 12 0], 3, [specialist generalist specialist]
1, 0, -3, [], [11 44 15], 3, [specialist specialist specialist]
1, 1, 3, [], [29 47 45 18 11], 5, [generalist specialist specialist specialist generalist]
1, 2, -5, [], [16 28 35], 3, [specialist specialist specialist]
1, -1, -3, [], [2 22 3], 3, [specialist specialist specialist]
1, -5, -5, [], [2 10 45 18], 4, [specialist specialist generalist specialist]
1, 3, 1, [], [3 48], 2, [specialist generalist]
1, 4, 2, [], [3], 1, [specialist]
1, -2, -1, [], [0 27 15 31 3 22 25], 7, [specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -5, 5, [], [4], 1, [specialist]
1, 1, -1, [], [49 46 29], 3, [generalist specialist generalist]
1, -5, -4, [], [45 22 47 9 17 13], 6, [specialist generalist generalist specialist specialist specialist]
1, -2, 0, [], [13 49 17 41], 4, [generalist specialist specialist specialist]
1, 4, -3, [], [39 47 11 23], 4, [specialist specialist generalist specialist]
1, -4, 2, [], [15 29 27], 3, [specialist specialist specialist]
1, 2, -1, [], [23 47], 2, [generalist specialist]
1, -2, 5, [], [49], 1, [generalist]
1, 5, -2, [], [5 28 25 34 42 48 8], 7, [specialist specialist specialist specialist generalist specialist specialist]
1, 3, 3, [], [48 12 33 16 44], 5, [specialist specialist specialist specialist generalist]
1, 0, -5, [], [8 45 21], 3, [specialist specialist generalist]
1, -2, 2, [], [38 33 41], 3, [specialist specialist specialist]
1, -5, 0, [], [49 44 40 3 45 5], 6, [specialist specialist specialist specialist generalist specialist generalist]
1, 3, -3, [], [43 33 17 40 49 20 42], 7, [specialist specialist generalist specialist specialist specialist specialist]
1, -3, -1, [], [6 31 27 16 36 45 11], 7, [generalist specialist specialist specialist specialist specialist specialist]
1, 4, 1, [], [46 23 28 19 29], 5, [specialist specialist specialist specialist generalist]
