Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 3, -2, [], [35 15 36], 3, [specialist specialist specialist]
1, -3, 4, [], [11 16 36 44 45], 5, [specialist specialist specialist specialist specialist generalist]
1, 2, -2, [], [9 13], 2, [specialist specialist]
1, -3, 5, [], [46 0 26 31 30], 5, [specialist generalist specialist specialist specialist]
1, 4, -5, [], [11 1 21 28], 4, [specialist specialist specialist specialist]
1, 4, 2, [], [48 22 46 35], 4, [generalist specialist specialist generalist generalist]
1, 2, 5, [], [4 49 14 7 29], 5, [specialist generalist specialist specialist specialist]
1, 1, 1, [], [6 11], 2, [specialist specialist]
1, -4, -1, [], [45 40 36], 3, [specialist generalist specialist]
1, 0, 1, [], [12 24 9 30], 4, [specialist specialist specialist specialist]
1, -2, 3, [], [8 45 20], 3, [specialist generalist specialist]
1, -4, 0, [], [11 45], 2, [specialist generalist]
1, -4, 2, [], [14 40 11 23], 4, [specialist specialist specialist specialist]
1, -2, 5, [], [9 4], 2, [specialist specialist]
1, 4, 4, [], [33 30 48 24 40 43], 6, [generalist specialist specialist specialist specialist specialist]
1, 5, -1, [], [31 48], 2, [specialist generalist]
1, -4, -2, [], [19 1 17 45], 4, [generalist specialist specialist specialist]
1, -5, -1, [], [5 48 10 22 28 44 25 6], 8, [specialist generalist specialist specialist specialist specialist specialist specialist]
1, -1, 5, [], [23 40 43 15 3], 5, [specialist specialist specialist specialist specialist]
1, 5, 1, [], [15 5 46 24 32], 5, [generalist specialist specialist specialist specialist]
1, 5, -3, [], [28 23 49 34], 4, [specialist specialist generalist specialist]
1, -3, -2, [], [1 34], 2, [specialist specialist]
1, 3, -1, [], [22 39 12], 3, [specialist specialist specialist]
1, 3, 3, [], [18 16 19 44 15 17], 6, [specialist specialist specialist specialist specialist specialist]
1, 4, 0, [], [21 39 45 4 12 23 47], 7, [generalist generalist specialist specialist specialist specialist specialist specialist]
1, -2, -3, [], [10 27], 2, [specialist specialist specialist]
1, -5, 5, [], [1 45], 2, [generalist generalist specialist]
1, 5, 0, [], [21 47 1 28 14], 5, [generalist specialist specialist specialist specialist]
1, 5, 4, [], [47 49 48 36], 4, [generalist generalist generalist specialist]
